  0.9667000     -0.8159000
  1.7165436E-04   2.843212      1.8071059E-10
  1.7344223E-04   2.871800      1.8829059E-10
  1.7524873E-04   2.900679      1.9618879E-10
  1.7707403E-04   2.929846      2.0441812E-10
  1.7891836E-04   2.959306      2.1299260E-10
  1.8078188E-04   2.989058      2.2192635E-10
  1.8266482E-04   3.019113      2.3123521E-10
  1.8456737E-04   3.049467      2.4093427E-10
  1.8648975E-04   3.080127      2.5104033E-10
  1.8843214E-04   3.111094      2.6157002E-10
  1.9039467E-04   3.142368      2.7254063E-10
  1.9237775E-04   3.173958      2.8397198E-10
  1.9438146E-04   3.205866      2.9588276E-10
  1.9640605E-04   3.238094      3.0829317E-10
  1.9845173E-04   3.270643      3.2122385E-10
  2.0051870E-04   3.303519      3.3469655E-10
  2.0260722E-04   3.336725      3.4873457E-10
  2.0471748E-04   3.370261      3.6336092E-10
  2.0684973E-04   3.404137      3.7860098E-10
  2.0900417E-04   3.438351      3.9447992E-10
  2.1118105E-04   3.472907      4.1102466E-10
  2.1338064E-04   3.507811      4.2826354E-10
  2.1560300E-04   3.543060      4.4622384E-10
  2.1784862E-04   3.578666      4.6493842E-10
  2.2011764E-04   3.614627      4.8443766E-10
  2.2241028E-04   3.650950      5.0475463E-10
  2.2472677E-04   3.687635      5.2592308E-10
  2.2706744E-04   3.724688      5.4797972E-10
  2.2943247E-04   3.762110      5.7096033E-10
  2.3182212E-04   3.799908      5.9490501E-10
  2.3423669E-04   3.838085      6.1985372E-10
  2.3667639E-04   3.876643      6.4584826E-10
  2.3914150E-04   3.915588      6.7293282E-10
  2.4163230E-04   3.954920      7.0115252E-10
  2.4414904E-04   3.994648      7.3055567E-10
  2.4669184E-04   4.034770      7.6118994E-10
  2.4926127E-04   4.075295      7.9310991E-10
  2.5185745E-04   4.116225      8.2636786E-10
  2.5448069E-04   4.157565      8.6102031E-10
  2.5713124E-04   4.199319      8.9712571E-10
  2.5980940E-04   4.241488      9.3474417E-10
  2.6251544E-04   4.284081      9.7393982E-10
  2.6524972E-04   4.327098      1.0147788E-09
  2.6801243E-04   4.370543      1.0573288E-09
  2.7080390E-04   4.414424      1.1016629E-09
  2.7362449E-04   4.458743      1.1478554E-09
  2.7647446E-04   4.503505      1.1959844E-09
  2.7935393E-04   4.548711      1.2461275E-09
  2.8226356E-04   4.594371      1.2983753E-09
  2.8520348E-04   4.640484      1.3528126E-09
  2.8817405E-04   4.687060      1.4095322E-09
  2.9117550E-04   4.734099      1.4686280E-09
  2.9420826E-04   4.781608      1.5302009E-09
  2.9727264E-04   4.829591      1.5943548E-09
  3.0036888E-04   4.878052      1.6611967E-09
  3.0349736E-04   4.926994      1.7308391E-09
  3.0665845E-04   4.976428      1.8034018E-09
  3.0985248E-04   5.026353      1.8790043E-09
  3.1307974E-04   5.076774      1.9577742E-09
  3.1634065E-04   5.127699      2.0398458E-09
  3.1963532E-04   5.179127      2.1253517E-09
  3.2296454E-04   5.231070      2.2144448E-09
  3.2632839E-04   5.283532      2.3072717E-09
  3.2972725E-04   5.336513      2.4039863E-09
  3.3316156E-04   5.390022      2.5047537E-09
  3.3663161E-04   5.444063      2.6097422E-09
  3.4013781E-04   5.498643      2.7191314E-09
  3.4368053E-04   5.553766      2.8331024E-09
  3.4726012E-04   5.609435      2.9518463E-09
  3.5087703E-04   5.665658      3.0755662E-09
  3.5453163E-04   5.722438      3.2044678E-09
  3.5822424E-04   5.779785      3.3387699E-09
  3.6195517E-04   5.837698      3.4786900E-09
  3.6572511E-04   5.896189      3.6244794E-09
  3.6953436E-04   5.955259      3.7763739E-09
  3.7338329E-04   6.014914      3.9346295E-09
  3.7727226E-04   6.075161      4.0995136E-09
  3.8120171E-04   6.136008      4.2713024E-09
  3.8517214E-04   6.197456      4.4502868E-09
  3.8918396E-04   6.259513      4.6367665E-09
  3.9323751E-04   6.322188      4.8310560E-09
  3.9733329E-04   6.385478      5.0334772E-09
  4.0147171E-04   6.449400      5.2443787E-09
  4.0565326E-04   6.513953      5.4641101E-09
  4.0987838E-04   6.579146      5.6930434E-09
  4.1414730E-04   6.644979      5.9315486E-09
  4.1846084E-04   6.711466      6.1800463E-09
  4.2281931E-04   6.778609      6.4389485E-09
  4.2722322E-04   6.846418      6.7086918E-09
  4.3167302E-04   6.914896      6.9897270E-09
